LFreq;LAmpl
10;1,9826
10,05;1,9899
10,1;1,9988
10,15;2,0074
10,2;2,0156
10,25;2,0235
10,3;2,0314
10,35;2,0387
10,4;2,0464
10,45;2,0539
10,5;2,0623
10,55;2,0694
10,6;2,0781
10,65;2,0865
10,7;2,0938
10,75;2,1022
10,8;2,1103
10,85;2,1172
10,9;2,1255
10,95;2,1326
11;2,1409
11,05;2,1482
11,1;2,1549
11,15;2,163
11,2;2,1709
11,25;2,1774
11,3;2,1851
11,35;2,1917
11,4;2,1998
11,45;2,2069
11,5;2,2138
11,55;2,2221
11,6;2,229
11,65;2,2365
11,7;2,2444
11,75;2,2509
11,8;2,2588
11,85;2,2661
11,9;2,2731
11,95;2,2809
12;2,2888
12,05;2,2963
12,1;2,3042
12,15;2,3113
12,2;2,319
12,25;2,3254
12,3;2,3332
12,35;2,3413
12,4;2,3481
12,45;2,3567
12,5;2,3651
12,55;2,3728
12,6;2,3814
12,65;2,3895
12,7;2,3987
12,75;2,4069
12,8;2,4154
12,85;2,4253
12,9;2,4334
12,95;2,4431
13;2,4531
13,05;2,4617
13,1;2,4724
13,15;2,4827
13,2;2,4913
13,25;2,5029
13,3;2,5118
13,35;2,5228
13,4;2,5326
13,45;2,5416
13,5;2,5515
13,55;2,5594
13,6;2,5682
13,65;2,5721
13,7;2,5676
13,75;2,5658
13,8;2,5628
13,85;2,5596
13,9;2,5489
13,95;2,5294
14;2,511
14,05;2,4896
14,1;2,4581
14,15;2,4225
14,2;2,3807
14,25;2,3316
14,3;2,2778
14,35;2,2215
14,4;2,1724
14,45;2,1332
14,5;2,1079
14,55;2,1017
14,6;2,0957
14,65;2,1064
14,7;2,1214
14,75;2,1347
14,8;2,1527
14,85;2,1728
14,9;2,193
14,95;2,2114
15;2,2281
15,05;2,2462
15,1;2,2601
15,15;2,2731
15,2;2,2866
15,25;2,2972
15,3;2,3092
15,35;2,3207
15,4;2,3318
15,45;2,3406
15,5;2,3501
15,55;2,3588
15,6;2,3672
15,65;2,3745
15,7;2,3831
15,75;2,3906
15,8;2,397
15,85;2,4049
15,9;2,4122
15,95;2,4193
16;2,4264
16,05;2,4324
16,1;2,4407
16,15;2,4458
16,2;2,4521
16,25;2,4589
16,3;2,4639
16,35;2,4714
16,4;2,4769
16,45;2,4818
16,5;2,4885
16,55;2,4938
16,6;2,4979
16,65;2,5042
16,7;2,5099
16,75;2,5157
16,8;2,5202
16,85;2,5251
16,9;2,5298
16,95;2,5337
17;2,5397
17,05;2,544
17,1;2,5474
17,15;2,5534
17,2;2,5573
17,25;2,5614
17,3;2,5678
17,35;2,5721
17,4;2,5762
17,45;2,5809
17,5;2,5845
17,55;2,5881
17,6;2,5918
17,65;2,5971
17,7;2,601
17,75;2,6046
17,8;2,6094
17,85;2,613
17,9;2,6166
17,95;2,622
18;2,6248
18,05;2,6299
18,1;2,6331
18,15;2,6364
18,2;2,6413
18,25;2,6439
18,3;2,6488
18,35;2,652
18,4;2,6561
18,45;2,6604
18,5;2,6632
18,55;2,6679
18,6;2,6717
18,65;2,6749
18,7;2,6798
18,75;2,6837
18,8;2,6876
18,85;2,6921
18,9;2,6955
18,95;2,7002
19;2,7032
19,05;2,7069
19,1;2,7116
19,15;2,7176
19,2;2,7165
19,25;2,7236
19,3;2,7276
19,35;2,7317
19,4;2,7341
19,45;2,7379
19,5;2,7424
19,55;2,7448
19,6;2,7502
19,65;2,7531
19,7;2,7557
19,75;2,7613
19,8;2,7645
19,85;2,7675
19,9;2,7714
19,95;2,7739
20;2,7789
;
