LFreq;LAmpl
10;1,9824
10,05;1,9898
10,1;1,9984
10,15;2,0061
10,2;2,0141
10,25;2,0228
10,3;2,0299
10,35;2,0385
10,4;2,0469
10,45;2,0541
10,5;2,0629
10,55;2,07
10,6;2,0788
10,65;2,0867
10,7;2,0938
10,75;2,103
10,8;2,1107
10,85;2,1182
10,9;2,1266
10,95;2,1338
11;2,1418
11,05;2,1488
11,1;2,1566
11,15;2,1643
11,2;2,1711
11,25;2,1788
11,3;2,1864
11,35;2,1932
11,4;2,2007
11,45;2,2084
11,5;2,2157
11,55;2,2238
11,6;2,2307
11,65;2,2391
11,7;2,2472
11,75;2,2545
11,8;2,2616
11,85;2,2689
11,9;2,2757
11,95;2,2832
12;2,2903
12,05;2,2984
12,1;2,3061
12,15;2,3134
12,2;2,3214
12,25;2,3286
12,3;2,3372
12,35;2,3452
12,4;2,3524
12,45;2,3616
12,5;2,3689
12,55;2,3777
12,6;2,3865
12,65;2,3948
12,7;2,4045
12,75;2,4135
12,8;2,4227
12,85;2,433
12,9;2,4414
12,95;2,4523
13;2,4619
13,05;2,4724
13,1;2,4842
13,15;2,4943
13,2;2,5058
13,25;2,5172
13,3;2,5282
13,35;2,5408
13,4;2,5522
13,45;2,5639
13,5;2,5779
13,55;2,5907
13,6;2,6008
13,65;2,6051
13,7;2,6121
13,75;2,6177
13,8;2,6183
13,85;2,6192
13,9;2,6109
13,95;2,6074
14;2,5978
14,05;2,5858
14,1;2,5631
14,15;2,5309
14,2;2,4793
14,25;2,4154
14,3;2,346
14,35;2,2751
14,4;2,2078
14,45;2,1418
14,5;2,0835
14,55;2,0361
14,6;2,0158
14,65;2,0254
14,7;2,0432
14,75;2,0662
14,8;2,0936
14,85;2,1172
14,9;2,1431
14,95;2,1679
15;2,1908
15,05;2,2121
15,1;2,2294
15,15;2,2462
15,2;2,2609
15,25;2,2742
15,3;2,2877
15,35;2,3004
15,4;2,3115
15,45;2,3231
15,5;2,3327
15,55;2,3436
15,6;2,352
15,65;2,3604
15,7;2,3704
15,75;2,3782
15,8;2,3861
15,85;2,3949
15,9;2,4006
15,95;2,4096
16;2,4163
16,05;2,4225
16,1;2,4317
16,15;2,4362
16,2;2,4441
16,25;2,4499
16,3;2,4553
16,35;2,463
16,4;2,4686
16,45;2,4748
16,5;2,481
16,55;2,4861
16,6;2,4945
16,65;2,4979
16,7;2,5031
16,75;2,5099
16,8;2,5148
16,85;2,5196
16,9;2,5245
16,95;2,5275
17;2,5333
17,05;2,5376
17,1;2,5418
17,15;2,5474
17,2;2,5513
17,25;2,5573
17,3;2,5612
17,35;2,5659
17,4;2,5704
17,45;2,5736
17,5;2,5796
17,55;2,5836
17,6;2,5873
17,65;2,5926
17,7;2,5959
17,75;2,6012
17,8;2,6055
17,85;2,6079
17,9;2,6126
17,95;2,6173
18;2,6211
18,05;2,6254
18,1;2,628
18,15;2,6332
18,2;2,6385
18,25;2,6424
18,3;2,6454
18,35;2,6498
18,4;2,6524
18,45;2,6567
18,5;2,6599
18,55;2,6646
18,6;2,6679
18,65;2,6721
18,7;2,6768
18,75;2,6798
18,8;2,685
18,85;2,6882
18,9;2,6918
18,95;2,6966
19;2,7002
19,05;2,7041
19,1;2,7077
19,15;2,7111
19,2;2,7158
19,25;2,7199
19,3;2,7231
19,35;2,7278
19,4;2,7309
19,45;2,7354
19,5;2,7386
19,55;2,7422
19,6;2,7473
19,65;2,7489
19,7;2,7542
19,75;2,7576
19,8;2,7609
19,85;2,7652
19,9;2,769
19,95;2,7716
20;2,7758
;
