LFreq;LAmpl
10;1,9836
10,05;1,9911
10,1;1,9991
10,15;2,0072
10,2;2,0151
10,25;2,0231
10,3;2,031
10,35;2,0389
10,4;2,0471
10,45;2,0542
10,5;2,0625
10,55;2,0704
10,6;2,0781
10,65;2,0861
10,7;2,0936
10,75;2,1015
10,8;2,1096
10,85;2,1167
10,9;2,1248
10,95;2,1322
11;2,1398
11,05;2,1476
11,1;2,154
11,15;2,1611
11,2;2,1692
11,25;2,1761
11,3;2,1842
11,35;2,1924
11,4;2,1988
11,45;2,2058
11,5;2,2132
11,55;2,2207
11,6;2,2273
11,65;2,2344
11,7;2,2423
11,75;2,2483
11,8;2,2564
11,85;2,2641
11,9;2,2706
11,95;2,2783
12;2,2851
12,05;2,2928
12,1;2,3004
12,15;2,3068
12,2;2,3145
12,25;2,3226
12,3;2,3291
12,35;2,3376
12,4;2,3445
12,45;2,3529
12,5;2,3614
12,55;2,3687
12,6;2,3777
12,65;2,3852
12,7;2,3936
12,75;2,4028
12,8;2,4107
12,85;2,4206
12,9;2,4298
12,95;2,4396
13;2,4493
13,05;2,4579
13,1;2,4692
13,15;2,4791
13,2;2,4915
13,25;2,5014
13,3;2,5123
13,35;2,523
13,4;2,5339
13,45;2,5427
13,5;2,5549
13,55;2,5658
13,6;2,5751
13,65;2,5809
13,7;2,5862
13,75;2,5884
13,8;2,5811
13,85;2,5762
13,9;2,568
13,95;2,5498
14;2,5344
14,05;2,5099
14,1;2,4776
14,15;2,4403
14,2;2,3932
14,25;2,3359
14,3;2,2806
14,35;2,2222
14,4;2,1692
14,45;2,1238
14,5;2,0938
14,55;2,0837
14,6;2,085
14,65;2,0992
14,7;2,1191
14,75;2,1373
14,8;2,1613
14,85;2,1853
14,9;2,2067
14,95;2,2268
15;2,2444
15,05;2,2635
15,1;2,2778
15,15;2,2911
15,2;2,3036
15,25;2,3152
15,3;2,3252
15,35;2,3366
15,4;2,3452
15,45;2,3558
15,5;2,3644
15,55;2,3723
15,6;2,3814
15,65;2,3888
15,7;2,3968
15,75;2,4049
15,8;2,4109
15,85;2,4195
15,9;2,4257
15,95;2,4324
16;2,4398
16,05;2,4454
16,1;2,4532
16,15;2,4587
16,2;2,4645
16,25;2,4712
16,3;2,4767
16,35;2,4825
16,4;2,4885
16,45;2,4934
16,5;2,5005
16,55;2,505
16,6;2,505
16,65;2,5164
16,7;2,5211
16,75;2,5256
16,8;2,5312
16,85;2,5342
16,9;2,5412
16,95;2,5462
17;2,55
17,05;2,5543
17,1;2,5579
17,15;2,5629
17,2;2,5665
17,25;2,5708
17,3;2,5759
17,35;2,5791
17,4;2,5841
17,45;2,5886
17,5;2,592
17,55;2,5969
17,6;2,6006
17,65;2,6051
17,7;2,6094
17,75;2,6124
17,8;2,6181
17,85;2,6207
17,9;2,625
17,95;2,6303
18;2,6331
18,05;2,6376
18,1;2,6408
18,15;2,6441
18,2;2,6488
18,25;2,6522
18,3;2,6565
18,35;2,6602
18,4;2,6632
18,45;2,6679
18,5;2,6711
18,55;2,6743
18,6;2,6792
18,65;2,6828
18,7;2,6871
18,75;2,6923
18,8;2,6957
18,85;2,6991
18,9;2,7039
18,95;2,7062
19;2,7099
19,05;2,7129
19,1;2,7182
19,15;2,7216
19,2;2,7242
19,25;2,7291
19,3;2,7328
19,35;2,7371
19,4;2,7411
19,45;2,7441
19,5;2,7487
19,55;2,7518
19,6;2,7551
19,65;2,76
19,7;2,7624
19,75;2,7671
19,8;2,7705
19,85;2,7737
19,9;2,778
19,95;2,7808
20;2,7848
;
