LFreq;LAmpl
10;1,9841
10,05;1,9922
10,1;1,9986
10,15;2,0074
10,2;2,0151
10,25;2,0231
10,3;2,0304
10,35;2,0381
10,4;2,0469
10,45;2,0542
10,5;2,0619
10,55;2,0704
10,6;2,0779
10,65;2,0859
10,7;2,0936
10,75;2,1009
10,8;2,1098
10,85;2,1167
10,9;2,1251
10,95;2,1324
11;2,139
11,05;2,1476
11,1;2,1544
11,15;2,1596
11,2;2,169
11,25;2,1765
11,3;2,1842
11,35;2,1917
11,4;2,1984
11,45;2,2065
11,5;2,2127
11,55;2,2194
11,6;2,2269
11,65;2,2331
11,7;2,2416
11,75;2,2485
11,8;2,2558
11,85;2,2635
11,9;2,2699
11,95;2,2781
12;2,2847
12,05;2,2914
12,1;2,2999
12,15;2,3064
12,2;2,3141
12,25;2,3212
12,3;2,328
12,35;2,3368
12,4;2,3436
12,45;2,3518
12,5;2,3602
12,55;2,3679
12,6;2,3762
12,65;2,385
12,7;2,3931
12,75;2,4021
12,8;2,4101
12,85;2,4197
12,9;2,4291
12,95;2,4377
13;2,448
13,05;2,4579
13,1;2,4679
13,15;2,4799
13,2;2,4906
13,25;2,5014
13,3;2,5123
13,35;2,5236
13,4;2,5344
13,45;2,5446
13,5;2,5568
13,55;2,5686
13,6;2,5791
13,65;2,5836
13,7;2,5892
13,75;2,5941
13,8;2,5933
13,85;2,5899
13,9;2,5821
13,95;2,5772
14;2,565
14,05;2,5504
14,1;2,5245
14,15;2,49
14,2;2,4398
14,25;2,3752
14,3;2,3076
14,35;2,2391
14,4;2,1739
14,45;2,1156
14,5;2,0732
14,55;2,0627
14,6;2,079
14,65;2,0916
14,7;2,1144
14,75;2,1371
14,8;2,1615
14,85;2,187
14,9;2,2089
14,95;2,2298
15;2,2496
15,05;2,2661
15,1;2,2811
15,15;2,2941
15,2;2,3066
15,25;2,3175
15,3;2,3284
15,35;2,3392
15,4;2,3488
15,45;2,3588
15,5;2,3678
15,55;2,3751
15,6;2,385
15,65;2,3912
15,7;2,3992
15,75;2,4071
15,8;2,4141
15,85;2,4216
15,9;2,4291
15,95;2,4345
16;2,4424
16,05;2,448
16,1;2,4551
16,15;2,4613
16,2;2,4664
16,25;2,4735
16,3;2,4793
16,35;2,4844
16,4;2,4911
16,45;2,496
16,5;2,5033
16,55;2,5074
16,6;2,5116
16,65;2,5181
16,7;2,5232
16,75;2,5273
16,8;2,5328
16,85;2,5378
16,9;2,5432
16,95;2,5478
17;2,5515
17,05;2,556
17,1;2,559
17,15;2,5641
17,2;2,5686
17,25;2,5727
17,3;2,5776
17,35;2,5809
17,4;2,5854
17,45;2,5899
17,5;2,5937
17,55;2,5988
17,6;2,6027
17,65;2,6055
17,7;2,6111
17,75;2,6145
17,8;2,619
17,85;2,6229
17,9;2,6259
17,95;2,6308
18;2,6346
18,05;2,6383
18,1;2,6428
18,15;2,6456
18,2;2,6511
18,25;2,6533
18,3;2,6567
18,35;2,6614
18,4;2,6642
18,45;2,6696
18,5;2,6717
18,55;2,676
18,6;2,6809
18,65;2,6848
18,7;2,6884
18,75;2,6936
18,8;2,6974
18,85;2,7011
18,9;2,7051
18,95;2,7069
19;2,7116
19,05;2,7144
19,1;2,7191
19,15;2,7231
19,2;2,7272
19,25;2,7313
19,3;2,7341
19,35;2,7379
19,4;2,7424
19,45;2,7469
19,5;2,7499
19,55;2,7534
19,6;2,7562
19,65;2,7613
19,7;2,7643
19,75;2,7688
19,8;2,7724
19,85;2,7742
19,9;2,7789
19,95;2,7816
20;2,7851
;
