LFreq;LAmpl
10;1,9826
10,05;1,9909
10,1;1,9988
10,15;2,0072
10,2;2,0154
10,25;2,0233
10,3;2,0314
10,35;2,0385
10,4;2,0471
10,45;2,055
10,5;2,0629
10,55;2,0711
10,6;2,0784
10,65;2,0867
10,7;2,0948
10,75;2,1024
10,8;2,1109
10,85;2,1182
10,9;2,1264
10,95;2,1351
11;2,1428
11,05;2,1495
11,1;2,1578
11,15;2,1626
11,2;2,1714
11,25;2,1786
11,3;2,1864
11,35;2,1936
11,4;2,2001
11,45;2,2082
11,5;2,2162
11,55;2,2234
11,6;2,2311
11,65;2,2382
11,7;2,2457
11,75;2,2534
11,8;2,2603
11,85;2,2684
11,9;2,2749
11,95;2,2828
12;2,2907
12,05;2,2974
12,1;2,3055
12,15;2,313
12,2;2,3209
12,25;2,3289
12,3;2,3355
12,35;2,3443
12,4;2,3528
12,45;2,3604
12,5;2,3692
12,55;2,3771
12,6;2,3865
12,65;2,3953
12,7;2,4038
12,75;2,4131
12,8;2,4242
12,85;2,4332
12,9;2,4435
12,95;2,4527
13;2,4628
13,05;2,4735
13,1;2,4842
13,15;2,4958
13,2;2,5059
13,25;2,5189
13,3;2,5305
13,35;2,5421
13,4;2,5552
13,45;2,5671
13,5;2,58
13,55;2,5928
13,6;2,6036
13,65;2,6019
13,7;2,6122
13,75;2,6154
13,8;2,6158
13,85;2,6106
13,9;2,6109
13,95;2,6036
14;2,5948
14,05;2,577
14,1;2,5481
14,15;2,4994
14,2;2,4351
14,25;2,3634
14,3;2,292
14,35;2,2219
14,4;2,1551
14,45;2,0932
14,5;2,0398
14,55;2,0166
14,6;2,0272
14,65;2,0466
14,7;2,0706
14,75;2,0976
14,8;2,1206
14,85;2,1467
14,9;2,1711
14,95;2,1939
15;2,2148
15,05;2,2341
15,1;2,2504
15,15;2,2646
15,2;2,2789
15,25;2,2922
15,3;2,3032
15,35;2,3156
15,4;2,3259
15,45;2,3359
15,5;2,3462
15,55;2,355
15,6;2,364
15,65;2,3732
15,7;2,3805
15,75;2,3889
15,8;2,3961
15,85;2,4036
15,9;2,4116
15,95;2,4186
16;2,4264
16,05;2,4328
16,1;2,4399
16,15;2,4459
16,2;2,4514
16,25;2,4578
16,3;2,4649
16,35;2,4696
16,4;2,4765
16,45;2,4825
16,5;2,4879
16,55;2,4939
16,6;2,4928
16,65;2,5054
16,7;2,5101
16,75;2,5144
16,8;2,5208
16,85;2,5241
16,9;2,5296
16,95;2,5344
17;2,5384
17,05;2,5442
17,1;2,5479
17,15;2,5528
17,2;2,5579
17,25;2,5616
17,3;2,5667
17,35;2,571
17,4;2,5749
17,45;2,5802
17,5;2,5836
17,55;2,5877
17,6;2,5924
17,65;2,5959
17,7;2,6014
17,75;2,6057
17,8;2,6102
17,85;2,6149
17,9;2,6181
17,95;2,6222
18;2,6263
18,05;2,6289
18,1;2,6336
18,15;2,6368
18,2;2,6411
18,25;2,646
18,3;2,6481
18,35;2,6529
18,4;2,6565
18,45;2,6595
18,5;2,6636
18,55;2,6676
18,6;2,6726
18,65;2,6758
18,7;2,6794
18,75;2,6842
18,8;2,688
18,85;2,6918
18,9;2,6959
18,95;2,6991
19;2,7043
19,05;2,7073
19,1;2,7109
19,15;2,7159
19,2;2,7189
19,25;2,7244
19,3;2,7281
19,35;2,7315
19,4;2,7356
19,45;2,7388
19,5;2,7416
19,55;2,7456
19,6;2,7487
19,65;2,7536
19,7;2,7574
19,75;2,7604
19,8;2,7652
19,85;2,7673
19,9;2,7718
19,95;2,7752
20;2,7778
;
