LFreq;LAmpl
10;1,9834
10,05;1,9907
10,1;1,9995
10,15;2,007
10,2;2,0147
10,25;2,0233
10,3;2,0308
10,35;2,0392
10,4;2,0469
10,45;2,0548
10,5;2,0631
10,55;2,0702
10,6;2,0782
10,65;2,0869
10,7;2,094
10,75;2,1024
10,8;2,1103
10,85;2,1178
10,9;2,1251
10,95;2,1334
11;2,1418
11,05;2,1486
11,1;2,1561
11,15;2,1638
11,2;2,1712
11,25;2,1782
11,3;2,1851
11,35;2,1921
11,4;2,1998
11,45;2,2069
11,5;2,2142
11,55;2,2221
11,6;2,229
11,65;2,2369
11,7;2,2436
11,75;2,2506
11,8;2,2586
11,85;2,2661
11,9;2,2731
11,95;2,2811
12;2,2875
12,05;2,2956
12,1;2,3032
12,15;2,3104
12,2;2,3184
12,25;2,3252
12,3;2,3332
12,35;2,3415
12,4;2,3486
12,45;2,3567
12,5;2,3644
12,55;2,3736
12,6;2,3824
12,65;2,3902
12,7;2,3994
12,75;2,4084
12,8;2,4176
12,85;2,4268
12,9;2,4351
12,95;2,4471
13;2,4574
13,05;2,4675
13,1;2,4776
13,15;2,4889
13,2;2,4988
13,25;2,5099
13,3;2,5204
13,35;2,5328
13,4;2,5436
13,45;2,5549
13,5;2,5663
13,55;2,5759
13,6;2,5866
13,65;2,5869
13,7;2,589
13,75;2,5935
13,8;2,5866
13,85;2,5809
13,9;2,5656
13,95;2,5541
14;2,5356
14,05;2,5144
14,1;2,4808
14,15;2,4388
14,2;2,3839
14,25;2,3224
14,3;2,2569
14,35;2,1915
14,4;2,1328
14,45;2,0884
14,5;2,0704
14,55;2,0726
14,6;2,0792
14,65;2,0948
14,7;2,1135
14,75;2,1349
14,8;2,1606
14,85;2,1842
14,9;2,2052
14,95;2,2234
15;2,2402
15,05;2,2569
15,1;2,2708
15,15;2,2841
15,2;2,2971
15,25;2,3076
15,3;2,3194
15,35;2,3291
15,4;2,3387
15,45;2,3488
15,5;2,3571
15,55;2,3659
15,6;2,3747
15,65;2,3822
15,7;2,3904
15,75;2,3972
15,8;2,4045
15,85;2,4126
15,9;2,4186
15,95;2,4259
16;2,4321
16,05;2,4381
16,1;2,4459
16,15;2,4512
16,2;2,4579
16,25;2,4643
16,3;2,4696
16,35;2,4767
16,4;2,4821
16,45;2,4881
16,5;2,4939
16,55;2,4981
16,6;2,5022
16,65;2,5118
16,7;2,5162
16,75;2,5209
16,8;2,5266
16,85;2,5303
16,9;2,5341
16,95;2,5386
17;2,5446
17,05;2,5479
17,1;2,5515
17,15;2,5571
17,2;2,5609
17,25;2,5663
17,3;2,5702
17,35;2,5736
17,4;2,5796
17,45;2,5832
17,5;2,5873
17,55;2,5922
17,6;2,5956
17,65;2,6006
17,7;2,6042
17,75;2,6081
17,8;2,6136
17,85;2,6164
17,9;2,6214
17,95;2,6252
18;2,6286
18,05;2,6336
18,1;2,6359
18,15;2,6404
18,2;2,6445
18,25;2,6479
18,3;2,6522
18,35;2,6558
18,4;2,6597
18,45;2,664
18,5;2,6687
18,55;2,673
18,6;2,676
18,65;2,6801
18,7;2,6841
18,75;2,6871
18,8;2,6912
18,85;2,6949
18,9;2,6981
18,95;2,7034
19;2,7062
19,05;2,7101
19,1;2,7144
19,15;2,7174
19,2;2,7219
19,25;2,7261
19,3;2,7291
19,35;2,7338
19,4;2,7371
19,45;2,7388
19,5;2,7454
19,55;2,7476
19,6;2,7531
19,65;2,7559
19,7;2,7594
19,75;2,7641
19,8;2,7669
19,85;2,7713
19,9;2,7746
19,95;2,7774
20;2,7812
;
