LFreq;LAmpl
10;1,9839
10,05;1,9916
10,1;1,9989
10,15;2,0074
10,2;2,0147
10,25;2,0241
10,3;2,0321
10,35;2,0398
10,4;2,0477
10,45;2,0554
10,5;2,0629
10,55;2,0706
10,6;2,0779
10,65;2,0856
10,7;2,094
10,75;2,1013
10,8;2,1101
10,85;2,1169
10,9;2,1251
10,95;2,1328
11;2,1399
11,05;2,1474
11,1;2,1546
11,15;2,1622
11,2;2,1694
11,25;2,1758
11,3;2,1842
11,35;2,1909
11,4;2,1979
11,45;2,2058
11,5;2,2125
11,55;2,2202
11,6;2,2275
11,65;2,2344
11,7;2,2427
11,75;2,2498
11,8;2,2567
11,85;2,2644
11,9;2,2708
11,95;2,2787
12;2,2858
12,05;2,2924
12,1;2,3006
12,15;2,3089
12,2;2,316
12,25;2,3228
12,3;2,3299
12,35;2,3378
12,4;2,3451
12,45;2,3522
12,5;2,3617
12,55;2,3683
12,6;2,3773
12,65;2,3852
12,7;2,394
12,75;2,4032
12,8;2,4109
12,85;2,4206
12,9;2,4304
12,95;2,4388
13;2,4491
13,05;2,4589
13,1;2,4682
13,15;2,4799
13,2;2,4893
13,25;2,5009
13,3;2,5114
13,35;2,5215
13,4;2,5328
13,45;2,5425
13,5;2,5538
13,55;2,5639
13,6;2,5729
13,65;2,5778
13,7;2,5819
13,75;2,5806
13,8;2,5749
13,85;2,5646
13,9;2,5492
13,95;2,5239
14;2,4921
14,05;2,4606
14,1;2,4227
14,15;2,3788
14,2;2,334
14,25;2,2869
14,3;2,2423
14,35;2,1998
14,4;2,1615
14,45;2,1338
14,5;2,1101
14,55;2,1004
14,6;2,1002
14,65;2,1111
14,7;2,1292
14,75;2,1467
14,8;2,1714
14,85;2,1938
14,9;2,2134
14,95;2,2329
15;2,2502
15,05;2,2667
15,1;2,2813
15,15;2,2935
15,2;2,3059
15,25;2,3179
15,3;2,3278
15,35;2,3385
15,4;2,3482
15,45;2,3574
15,5;2,3661
15,55;2,3741
15,6;2,3839
15,65;2,3904
15,7;2,3983
15,75;2,406
15,8;2,4144
15,85;2,4218
15,9;2,4287
15,95;2,4354
16;2,4414
16,05;2,4488
16,1;2,4538
16,15;2,4598
16,2;2,4654
16,25;2,4729
16,3;2,4784
16,35;2,4832
16,4;2,4902
16,45;2,4952
16,5;2,5018
16,55;2,5067
16,6;2,5129
16,65;2,5174
16,7;2,5221
16,75;2,5266
16,8;2,5316
16,85;2,5354
16,9;2,5416
16,95;2,5455
17;2,5492
17,05;2,5547
17,1;2,5575
17,15;2,5637
17,2;2,5674
17,25;2,5708
17,3;2,5766
17,35;2,5804
17,4;2,5845
17,45;2,589
17,5;2,5929
17,55;2,5984
17,6;2,6018
17,65;2,6048
17,7;2,6102
17,75;2,6162
17,8;2,6197
17,85;2,6233
17,9;2,6267
17,95;2,6306
18;2,6338
18,05;2,6385
18,1;2,6421
18,15;2,6449
18,2;2,6499
18,25;2,6535
18,3;2,6569
18,35;2,6612
18,4;2,6642
18,45;2,6683
18,5;2,6715
18,55;2,6749
18,6;2,6801
18,65;2,6833
18,7;2,6869
18,75;2,6914
18,8;2,6944
18,85;2,7
18,9;2,7032
18,95;2,7069
19;2,7107
19,05;2,7137
19,1;2,7189
19,15;2,7219
19,2;2,7259
19,25;2,73
19,3;2,7339
19,35;2,7371
19,4;2,7416
19,45;2,7467
19,5;2,7493
19,55;2,7523
19,6;2,7581
19,65;2,7613
19,7;2,7656
19,75;2,7686
19,8;2,7731
19,85;2,7748
19,9;2,7786
19,95;2,7812
20;2,7849
;
