LFreq;LAmpl
10;1,9826
10,05;1,9903
10,1;1,998
10,15;2,007
10,2;2,0143
10,25;2,0222
10,3;2,0312
10,35;2,0381
10,4;2,0471
10,45;2,0548
10,5;2,0623
10,55;2,0708
10,6;2,0781
10,65;2,0867
10,7;2,0949
10,75;2,1024
10,8;2,1107
10,85;2,1186
10,9;2,1263
10,95;2,1345
11;2,1435
11,05;2,1501
11,1;2,1574
11,15;2,1641
11,2;2,1722
11,25;2,1788
11,3;2,1862
11,35;2,1938
11,4;2,2009
11,45;2,2091
11,5;2,2162
11,55;2,2239
11,6;2,2318
11,65;2,2386
11,7;2,2468
11,75;2,2539
11,8;2,2612
11,85;2,2695
11,9;2,2759
11,95;2,2841
12;2,2922
12,05;2,2989
12,1;2,3072
12,15;2,3143
12,2;2,3222
12,25;2,3301
12,3;2,3378
12,35;2,346
12,4;2,3544
12,45;2,3623
12,5;2,3713
12,55;2,3784
12,6;2,3888
12,65;2,3972
12,7;2,4056
12,75;2,4152
12,8;2,424
12,85;2,4354
12,9;2,4452
12,95;2,4549
13;2,4649
13,05;2,4758
13,1;2,4857
13,15;2,4973
13,2;2,5076
13,25;2,5198
13,3;2,5316
13,35;2,5432
13,4;2,556
13,45;2,5672
13,5;2,5809
13,55;2,5929
13,6;2,6038
13,65;2,6044
13,7;2,6132
13,75;2,6203
13,8;2,6203
13,85;2,6179
13,9;2,6122
13,95;2,6092
14;2,598
14,05;2,5871
14,1;2,5633
14,15;2,5268
14,2;2,4703
14,25;2,4024
14,3;2,3316
14,35;2,2607
14,4;2,1928
14,45;2,1283
14,5;2,0681
14,55;2,0248
14,6;2,0169
14,65;2,0321
14,7;2,0479
14,75;2,0738
14,8;2,0991
14,85;2,1232
14,9;2,148
14,95;2,1726
15;2,1943
15,05;2,2153
15,1;2,2335
15,15;2,2485
15,2;2,2641
15,25;2,2778
15,3;2,2899
15,35;2,3027
15,4;2,3134
15,45;2,3242
15,5;2,3342
15,55;2,3439
15,6;2,3539
15,65;2,3623
15,7;2,3704
15,75;2,3799
15,8;2,3871
15,85;2,3959
15,9;2,4022
15,95;2,409
16;2,4172
16,05;2,424
16,1;2,4308
16,15;2,4381
16,2;2,4437
16,25;2,4514
16,3;2,4566
16,35;2,4619
16,4;2,4694
16,45;2,4752
16,5;2,4814
16,55;2,4889
16,6;2,4943
16,65;2,4996
16,7;2,5058
16,75;2,5091
16,8;2,5142
16,85;2,5181
16,9;2,5247
16,95;2,5288
17;2,5329
17,05;2,5388
17,1;2,5423
17,15;2,5479
17,2;2,5524
17,25;2,556
17,3;2,562
17,35;2,5663
17,4;2,5695
17,45;2,5749
17,5;2,5789
17,55;2,5849
17,6;2,5877
17,65;2,5918
17,7;2,5971
17,75;2,6004
17,8;2,6046
17,85;2,6096
17,9;2,613
17,95;2,6179
18;2,6211
18,05;2,6248
18,1;2,6293
18,15;2,6323
18,2;2,6379
18,25;2,6421
18,3;2,6445
18,35;2,6484
18,4;2,6541
18,45;2,658
18,5;2,6619
18,55;2,6655
18,6;2,6694
18,65;2,673
18,7;2,6768
18,75;2,6803
18,8;2,6839
18,85;2,6891
18,9;2,6925
18,95;2,6959
19;2,7011
19,05;2,7038
19,1;2,7082
19,15;2,7118
19,2;2,715
19,25;2,7202
19,3;2,7234
19,35;2,7272
19,4;2,7315
19,45;2,7345
19,5;2,7394
19,55;2,7428
19,6;2,7456
19,65;2,751
19,7;2,7538
19,75;2,7583
19,8;2,7621
19,85;2,7647
19,9;2,7692
19,95;2,7718
20;2,7756
;
