LFreq;LAmpl
10;1,9824
10,05;1,9905
10,1;1,9982
10,15;2,0074
10,2;2,0152
10,25;2,0235
10,3;2,0312
10,35;2,0389
10,4;2,0469
10,45;2,0552
10,5;2,0625
10,55;2,0713
10,6;2,079
10,65;2,0869
10,7;2,0949
10,75;2,1028
10,8;2,1114
10,85;2,1191
10,9;2,1264
10,95;2,1352
11;2,142
11,05;2,1499
11,1;2,1578
11,15;2,1645
11,2;2,1726
11,25;2,1799
11,3;2,1876
11,35;2,1956
11,4;2,202
11,45;2,2106
11,5;2,2174
11,55;2,2247
11,6;2,2329
11,65;2,2397
11,7;2,2478
11,75;2,2558
11,8;2,2628
11,85;2,2712
11,9;2,2783
11,95;2,2854
12;2,2944
12,05;2,3025
12,1;2,3102
12,15;2,3175
12,2;2,3248
12,25;2,3331
12,3;2,3398
12,35;2,3482
12,4;2,3571
12,45;2,3649
12,5;2,3743
12,55;2,3822
12,6;2,3916
12,65;2,4004
12,7;2,4094
12,75;2,4189
12,8;2,4287
12,85;2,4379
12,9;2,4488
12,95;2,4578
13;2,4692
13,05;2,4797
13,1;2,4904
13,15;2,5016
13,2;2,5129
13,25;2,5253
13,3;2,5371
13,35;2,5478
13,4;2,5605
13,45;2,5718
13,5;2,583
13,55;2,5942
13,6;2,6029
13,65;2,5982
13,7;2,6053
13,75;2,6085
13,8;2,6036
13,85;2,592
13,9;2,5708
13,95;2,5498
14;2,5254
14,05;2,4921
14,1;2,454
14,15;2,4081
14,2;2,3595
14,25;2,3051
14,3;2,2489
14,35;2,1943
14,4;2,145
14,45;2,1045
14,5;2,0738
14,55;2,0548
14,6;2,0473
14,65;2,0488
14,7;2,0644
14,75;2,0844
14,8;2,1034
14,85;2,1287
14,9;2,1525
14,95;2,1756
15;2,1964
15,05;2,2172
15,1;2,2341
15,15;2,2485
15,2;2,2624
15,25;2,2766
15,3;2,2884
15,35;2,3008
15,4;2,3119
15,45;2,3218
15,5;2,3329
15,55;2,3419
15,6;2,3518
15,65;2,3604
15,7;2,3694
15,75;2,3781
15,8;2,3871
15,85;2,3944
15,9;2,4013
15,95;2,4084
16;2,4158
16,05;2,4221
16,1;2,4296
16,15;2,436
16,2;2,442
16,25;2,4488
16,3;2,4555
16,35;2,4621
16,4;2,4684
16,45;2,4733
16,5;2,4789
16,55;2,4851
16,6;2,4859
16,65;2,4971
16,7;2,5024
16,75;2,5071
16,8;2,5129
16,85;2,5166
16,9;2,5226
16,95;2,5275
17;2,5309
17,05;2,5378
17,1;2,5414
17,15;2,5453
17,2;2,5509
17,25;2,5549
17,3;2,5605
17,35;2,5641
17,4;2,5682
17,45;2,5738
17,5;2,5779
17,55;2,5822
17,6;2,5879
17,65;2,5926
17,7;2,5959
17,75;2,6004
17,8;2,6036
17,85;2,6076
17,9;2,6113
17,95;2,6164
18;2,6201
18,05;2,6235
18,1;2,6276
18,15;2,6319
18,2;2,6361
18,25;2,64
18,3;2,6428
18,35;2,6479
18,4;2,6509
18,45;2,6541
18,5;2,6591
18,55;2,6627
18,6;2,667
18,65;2,6713
18,7;2,6739
18,75;2,6794
18,8;2,6824
18,85;2,6869
18,9;2,6916
18,95;2,6942
19;2,6994
19,05;2,7026
19,1;2,7054
19,15;2,7112
19,2;2,7163
19,25;2,7189
19,3;2,7225
19,35;2,7255
19,4;2,7302
19,45;2,7349
19,5;2,7386
19,55;2,7426
19,6;2,7463
19,65;2,7501
19,7;2,7523
19,75;2,7557
19,8;2,7604
19,85;2,7634
19,9;2,7679
19,95;2,7709
20;2,7737
;
