LFreq;LAmpl
10;1,983
10,05;1,9912
10,1;1,9991
10,15;2,0064
10,2;2,0154
10,25;2,0222
10,3;2,0314
10,35;2,0385
10,4;2,0462
10,45;2,0548
10,5;2,0623
10,55;2,0704
10,6;2,0782
10,65;2,0854
10,7;2,094
10,75;2,1019
10,8;2,109
10,85;2,1176
10,9;2,1253
10,95;2,1332
11;2,1411
11,05;2,1486
11,1;2,1555
11,15;2,1624
11,2;2,1694
11,25;2,1763
11,3;2,1829
11,35;2,1913
11,4;2,1981
11,45;2,2054
11,5;2,2127
11,55;2,2196
11,6;2,2266
11,65;2,2346
11,7;2,2414
11,75;2,2492
11,8;2,2564
11,85;2,2635
11,9;2,2712
11,95;2,2776
12;2,2856
12,05;2,2922
12,1;2,2999
12,15;2,3074
12,2;2,3139
12,25;2,322
12,3;2,3297
12,35;2,3366
12,4;2,3452
12,45;2,3526
12,5;2,361
12,55;2,3692
12,6;2,3769
12,65;2,3852
12,7;2,394
12,75;2,4024
12,8;2,4116
12,85;2,4208
12,9;2,4298
12,95;2,4398
13;2,4488
13,05;2,4589
13,1;2,4668
13,15;2,4769
13,2;2,4859
13,25;2,4951
13,3;2,5058
13,35;2,5155
13,4;2,5258
13,45;2,5363
13,5;2,5442
13,55;2,5517
13,6;2,5566
13,65;2,5515
13,7;2,5532
13,75;2,5485
13,8;2,5378
13,85;2,5192
13,9;2,4816
13,95;2,4557
14;2,4285
14,05;2,3974
14,1;2,3709
14,15;2,337
14,2;2,3055
14,25;2,2742
14,3;2,2444
14,35;2,2181
14,4;2,1936
14,45;2,1744
14,5;2,1594
14,55;2,1549
14,6;2,1471
14,65;2,1463
14,7;2,1538
14,75;2,1666
14,8;2,1806
14,85;2,1973
14,9;2,214
14,95;2,2301
15;2,2462
15,05;2,2633
15,1;2,2768
15,15;2,2899
15,2;2,3025
15,25;2,3149
15,3;2,3258
15,35;2,3355
15,4;2,346
15,45;2,3542
15,5;2,364
15,55;2,3724
15,6;2,3805
15,65;2,3893
15,7;2,3963
15,75;2,4039
15,8;2,412
15,85;2,4189
15,9;2,4266
15,95;2,4328
16;2,4392
16,05;2,4458
16,1;2,4527
16,15;2,4591
16,2;2,4658
16,25;2,4703
16,3;2,4776
16,35;2,4834
16,4;2,4887
16,45;2,4951
16,5;2,4999
16,55;2,5069
16,6;2,5136
16,65;2,5174
16,7;2,5228
16,75;2,5273
16,8;2,5316
16,85;2,5363
16,9;2,5399
16,95;2,5455
17;2,5492
17,05;2,5538
17,1;2,5582
17,15;2,562
17,2;2,5678
17,25;2,5718
17,3;2,5748
17,35;2,5806
17,4;2,5839
17,45;2,5892
17,5;2,5935
17,55;2,5972
17,6;2,6018
17,65;2,6053
17,7;2,6098
17,75;2,6139
17,8;2,6171
17,85;2,622
17,9;2,6258
17,95;2,6297
18;2,6342
18,05;2,6372
18,1;2,6417
18,15;2,6458
18,2;2,6486
18,25;2,6539
18,3;2,6572
18,35;2,6604
18,4;2,664
18,45;2,6694
18,5;2,6734
18,55;2,6773
18,6;2,6809
18,65;2,6848
18,7;2,6869
18,75;2,6919
18,8;2,6957
18,85;2,6985
18,9;2,7028
18,95;2,7069
19;2,7103
19,05;2,7146
19,1;2,7174
19,15;2,7232
19,2;2,7255
19,25;2,7294
19,3;2,7341
19,35;2,7369
19,4;2,7422
19,45;2,7448
19,5;2,7482
19,55;2,7525
19,6;2,7561
19,65;2,7598
19,7;2,7636
19,75;2,7669
19,8;2,7718
19,85;2,7746
19,9;2,7782
19,95;2,7818
20;2,7848
;
